Impressions,Saves,Comments,Shares,Likes
3920,98,9,5,162
5394,194,7,14,224
4021,41,11,1,131
4528,172,10,7,213
2518,96,5,4,123
3884,74,7,10,144
2621,22,5,1,76
3541,135,4,9,124
3749,155,6,8,159
4115,122,6,3,191
2218,28,6,3,81
3234,122,8,14,151
4344,119,7,11,162
3216,121,5,5,142
9453,100,6,10,294
5055,101,7,11,159
4002,111,17,18,205
3169,106,8,1,121
6168,82,6,6,151
2407,40,8,20,72
2064,49,4,5,76
3973,72,3,4,91
7281,167,7,9,195
3052,63,5,14,129
4628,144,8,3,160
4082,135,11,5,175
5394,61,19,6,147
2766,40,10,4,114
3924,139,11,3,151
3015,52,11,4,92
6666,84,9,3,214
3854,81,11,15,150
4355,79,8,4,122
4343,105,6,3,152
6108,90,7,8,196
2523,34,6,0,86
2327,45,3,3,85
3990,98,4,11,156
2191,35,2,1,72
1941,49,6,3,82
16062,252,6,20,416
4998,167,4,13,180
4289,111,8,4,150
3880,90,4,2,127
3786,144,9,5,167
4298,263,6,19,225
3630,137,4,10,137
2826,67,3,3,114
7407,288,5,15,263
10386,668,8,41,328
2998,42,4,1,126
7018,342,9,16,236
2941,48,2,1,99
6432,250,11,8,212
10667,219,13,15,297
3988,118,6,9,142
4978,143,9,2,186
3388,99,1,7,112
4467,89,3,16,149
3246,148,5,14,132
5072,42,7,6,115
6339,171,8,5,248
4239,109,2,1,178
3454,38,0,0,107
7571,421,7,12,269
3333,38,3,5,96
3818,116,6,0,134
10933,225,13,15,301
5058,144,9,2,187
3601,51,0,3,94
3480,104,1,7,114
3525,33,5,0,96
3606,174,5,15,138
5542,46,7,6,122
6559,179,8,6,257
3623,34,3,0,95
10493,99,9,1,244
4446,174,6,11,190
2957,70,4,2,118
5538,149,6,6,178
4681,207,7,12,170
5273,318,9,22,250
5055,101,7,11,159
4002,111,17,18,205
3169,106,8,1,121
6168,82,6,6,151
2407,40,8,20,72
3630,137,4,10,137
2826,67,3,3,114
7407,288,5,15,263
10386,668,8,41,328
2998,42,4,1,126
3052,63,5,14,129
4628,144,8,3,160
4082,135,11,5,175
5394,61,19,6,147
2766,40,10,4,114
3924,139,11,3,151
3015,52,11,4,92
5409,393,10,27,275
5323,152,6,13,192
8001,83,8,7,203
4150,74,4,2,145
4609,94,1,12,168
6348,188,4,15,194
11068,214,7,8,250
7231,73,8,3,171
17396,285,7,7,416
6814,469,8,22,249
17713,504,3,23,308
5563,149,5,8,163
4842,55,6,4,86
11149,273,4,13,210
10206,182,10,17,172
13700,573,2,38,373
5731,135,4,1,148
4139,36,0,1,92
32695,1095,2,75,549
36919,653,5,26,443
